0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:00:38 +0000] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:13 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:13 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:14 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:14 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:14 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:14 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:15 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:15 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:15 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:15 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:15 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:16 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:16 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:25 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:25 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:26 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:28 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:30 +0000] "GET /back/ReinitGameServlet HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:31 +0000] "GET /back/GameServlet? HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:31 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:32 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:32 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:32 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:32 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:33 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:33 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:33 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:33 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:33 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:34 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:34 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:34 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:34 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:35 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:35 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:35 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:35 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:36 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:36 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:36 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:36 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:36 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:37 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:37 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:37 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:37 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:38 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:38 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:38 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:38 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:39 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:39 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:39 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:39 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:40 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:40 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:40 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:40 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:41 +0000] "GET /back/GameServlet? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [19/Mar/2024:01:01:45 +0000] "GET /back/bestScore HTTP/1.1" 200 674
